catalog-number,class-info,class-info href,class-info 2,class-section,class-days,time,ENRL/MAX,class-status
ECO 503,Macroeconomic Theory I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001437,Class #21954,L01,M W,09:00 am - 10:30 am,24/35,
ECO 506,Directed Research I (Half-Term),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013314,Class #21974,S01,F,01:30 pm - 02:30 pm,6-May,
ECO 506,Directed Research I (Half-Term),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013314,Class #21975,S02,T,01:00 pm - 02:00 pm,6-May,
ECO 506,Directed Research I (Half-Term),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013314,Class #21976,S03,T,09:30 am - 10:30 am,6-May,
ECO 506,Directed Research I (Half-Term),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013314,Class #23431,S04,F,02:00 pm - 03:00 pm,6-May,
ECO 511,Advanced Economic Theory I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001440,Class #21956,L01,M W,09:00 am - 10:30 am,20-Jul,
ECO 516,Behavioral Economics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013315,Class #22836,L01,T Th,10:40 am - 12:10 pm,20-Nov,
ECO 517,Econometric Theory I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001446,Class #21957,L01,T Th,10:40 am - 12:10 pm,29/40,
ECO 519,Advanced Econometrics: Nonlinear Models,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001448,Class #21983,L01,T Th,09:00 am - 10:30 am,20-Sep,
ECO 520 / POL 577,Economics and Politics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001449,Class #21986,L01,F,09:00 am - 12:00 pm,18-Sep,
ECO 521,Advanced Macroeconomic Theory I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001450,Class #21959,L01,M W,10:40 am - 12:10 pm,30-Oct,
ECO 523,Public Finance I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001452,Class #21960,L01,T,04:15 pm - 07:15 pm,20-Dec,
ECO 525 / FIN 525,Asset Pricing,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001454,Class #21961,L01,T Th,10:40 am - 12:10 pm,20-Mar,
ECO 528,Macroeconomic Perspectives on Inequality (Half Term),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015716,Class #22806,L01,Th,01:00 pm - 04:00 pm,14/25,
ECO 529,Financial and Monetary Economics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013809,Class #21978,L01,T Th,04:15 pm - 05:45 pm,15-Mar,
ECO 531,Economics of Labor,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001456,Class #21962,L01,M W,02:45 pm - 04:15 pm,15-Jun,
ECO 539A,Empirical Approaches in Microeconomics: Program Evaluation and Research Design (Half-Term),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015252,Class #22741,L01,M W,02:45 pm - 04:15 pm,Aug-40,
ECO 541,Industrial Organization and Public Policy,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001460,Class #21963,L01,M W,01:15 pm - 02:45 pm,20/30,
ECO 551,International Trade I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001462,Class #21964,L01,T Th,10:40 am - 12:10 pm,16/18,
ECO 553,International Monetary Theory and Policy I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001463,Class #21984,L01,W,01:00 pm - 04:00 pm,15-Jun,
ECO 562,Economic Development I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001467,Class #21985,L01,T Th,02:40 pm - 04:10 pm,0/0,Canceled
ECO 565,Health Economics I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011758,Class #21982,L01,M W,10:30 am - 12:00 pm,0/0,Canceled
ECO 581A,Microeconomics Theory Workshop,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001476,Class #21965,S01,Th,02:40 pm - 04:10 pm,25-Feb,
ECO 581B,Industrial Organization Workshop,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001477,Class #21966,S01,Th,01:30 pm - 02:50 pm,25-Dec,
ECO 581C,Macroeconomics/International Finance Workshop,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001478,Class #21967,S01,M,04:15 pm - 05:45 pm,25-Dec,
ECO 581D,Labor Economics/Industrial Relations Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001479,Class #21968,S01,M,01:15 pm - 02:30 pm,13/25,
ECO 581E,Research Program in Development Studies,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001480,Class #21969,S01,M,12:00 pm - 01:15 pm,25-Jun,
ECO 581F,Trade Workshop,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001481,Class #21970,S01,Th,04:15 pm - 05:45 pm,25-Oct,
ECO 581G,Econometric Research Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001482,Class #21971,S01,T,02:40 pm - 04:10 pm,0/25,
ECO 581H,Civitas Foundation Finance Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001483,Class #21972,S01,W,02:50 pm - 04:00 pm,25-Jun,
ECO 581J,Behavioral Economics Workshop,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009056,Class #21973,S01,T,12:30 pm - 02:00 pm,25-Feb,
ECO 581K,Political Economy Workshop,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009088,Class #22837,S01,M,04:30 pm - 06:00 pm,Jan-35,
ECS 326 / FRE 326,Versailles: Court and Culture from Louis XIV to Marie-Antoinette,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012289,Class #20772,S01,M W,11:00 am - 12:20 pm,12-Sep,
EEB 211,Life on Earth: Mechanisms of Change in Nature,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001521,Class #20051,L01,W,11:00 am - 12:20 pm,145/200,
EEB 211,Life on Earth: Mechanisms of Change in Nature,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001521,Class #20051,L01,,,145/200,
EEB 308 / ENV 365,Conservation Biology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001525,Class #20061,L01,M W,01:30 pm - 02:50 pm,21/30,
EEB 309,Evolutionary Biology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001526,Class #20064,L01,M W,08:30 am - 09:50 am,36/60,
EEB 321,"Ecology: Species Interactions, Biodiversity and Society",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001538,Class #20069,L01,T Th,11:00 am - 12:20 pm,56/50,Closed
EEB 325,Mathematical Modeling in Biology and Medicine,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012479,Class #20083,L01,,,30/30,Closed
EEB 327 / MOL 327 / GHP 327,Immune Systems: From Molecules to Populations,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011183,Class #20074,L01,,,45/25,Closed
EEB 329,Sensory Ecology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013699,Class #20077,L01,M W,11:00 am - 12:20 pm,22/42,
EEB 504,"Fundamental Concepts in Ecology, Evolution, and Behavior II",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001561,Class #21486,S01,T,05:00 pm - 07:30 pm,19/20,
EEB 507,Recent Research in Population Biology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001563,Class #20081,L01,M,11:00 am - 11:50 am,15-Sep,
EEB 522,Colloquium on the Biology of Populations,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001569,Class #20082,S01,Th,12:30 pm - 02:00 pm,20/100,
EEB 533,Topics in  Ecology: Mathematical concepts in population and community ecology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001578,Class #23420,L01,,,11-Sep,
EGR 151,"Foundations of Engineering: Mechanics, Energy, and Waves",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014233,Class #23314,L01,M W,11:00 am - 12:20 pm,67/67,Closed
EGR 151,"Foundations of Engineering: Mechanics, Energy, and Waves",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014233,Class #23314,L01,F,11:00 am - 11:50 am,67/67,Closed
EGR 151,"Foundations of Engineering: Mechanics, Energy, and Waves",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014233,Class #23315,L02,M W,07:30 pm - 08:50 pm,25/25,Closed
EGR 151,"Foundations of Engineering: Mechanics, Energy, and Waves",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014233,Class #23315,L02,F,07:30 pm - 08:20 pm,25/25,Closed
EGR 152,Foundations of Engineering: The Mathematics of Shape and Motion,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014234,Class #22320,C01,T Th,11:00 am - 12:20 pm,54/90,
